title,artist,year,medium,description,artist_bio,location,period,provenance,image_url,source_url
The Return of the Lean Dogs,Ben Osaghae,2000,Oil on Canvas,"The Return of the Lean Dogs captures a group of young men, presumably vigilante or gang members, fraternizing over cigarettes and palm wine, probably after a long, stressful day.",Ben Osaghae was famous for his stylish approach to contemporary happenings in the society with abstract expressionism.,Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_R1t_CVw6YS8Zmhyvl_vDvki297syttcyEu4BC8m0IHKSkzdWCmL_JfcLZvuL-NHBXgWugW,https://artsandculture.google.com/asset/the-return-of-the-lean-dogs/LQFRdBW4vZ7Wlw
Pandora's Box,Nathalie Djaku Kassi,2018,White Glazed Clay,"Pandora's Box, in ancient Greek mythology, was a cursed gift (in a jar) presented to Pandora, the first human woman created on the instructions of Zeus. Modern meanings of ""any source of great and unexpected troubles"" and ""a present which seems valuable but which in reality is a curse"" have been ascribed to it. However, Nathalie chose to translate and explore this theme as everyone's ""Pot of Secrets"". You find the faces all over this pot as metaphoric representations of the prying eyes of inquisitive friends and the general public who are very curious about your personal secrets not minding how troublesome they are to you.",,Nigeria,Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_SLiEqegu1KCNQxd2aWszfqcLzNEDyE4ts5dcWK54_NGTKG1Zdn7qANF5fnjdX549eU6Txhigw,https://artsandculture.google.com/asset/pandora-s-box/0AEocomRm3VHRA
Adam in the Garden of Eden,Uche Okeke,,Ink on paper,"Adam in the Garden of Eden, Okeke reimagines Adam as an African figure, surrounded by natural elements. The figure is drawn in his signature uli style, with lyrical lines emphasizing the trees, birds, and foliage that frame the scene. The loincloth-clad Adam stands with a potbelly, grounding the biblical story in an African context, while the composition celebrates the connection between humanity and nature.","Uche Okeke, a pioneer of modern Nigerian art, is known for his use of uli—a traditional Igbo art form based on fluid, linear patterns. His works frequently reinterpret African myths and stories, blending traditional and modern aesthetics. In",,Painting,Yemisi Shyllon Museum of Art,https://lh3.googleusercontent.com/ci/AL18g_TgTL9lstlbzwh4i5gub1ryEhZDsuZl6Jy3agsTNk1i5zRq1HepdIjFA9nfPr_A8R4uUbUwnQ,https://artsandculture.google.com/asset/adam-in-the-garden-of-eden/eAHB2atXE5_zEg
Prayer Warriors II,Ben Osaghae,2009,Acrylic on Canvas,"Prayer Warriors II, two figures stand in front of microphones, seemingly preaching or leading worship. The microphones are attached to orange-colored lecterns, one of which has an open book. The painting's simple color scheme—cadmium orange, cobalt blue, and light green—reflects the precision and economy of Osaghae’s work. This painting critiques the exploitation of religion for personal gain.","Ben Osaghae was a renowned Nigerian artist best known for his satirical commentary on social and religious issues through his paintings. He used his work to highlight the contradictions and challenges within Nigerian society, often touching on religion, politics, and everyday life. Osaghae’s “Religious Series” critically examines the commercialization of religion by some preachers. In",,Painting,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_Q7hQi8GDgJ1XSyZSfNLWc3FTEkbrt7D32dg1rSszEst85WpveZL6b44mvSRFTpamtoI9Yq=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/prayer-warriors-ii/hwGVWdU0UoKCxA
Prayer Request,Amon Kotei,1997,Oil on Canvas,The painting depicts a female figure down on her knees with her palms clasped together in prayer. The face of the lady is hardly visible as mostly dark colours have been used in depicting it. The painting also appears to have a number of colours going across the figure vertically and this creates a multi colored effect. The colours in the background can be seen on the figure as well.,,Ghana,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_RZ4ODzNx6Tf4xlXeIpGFlW-1WU1IyrydyDCmalheYyyxNaRE7ynvXuuzbxhJYuur4ninDh2g=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/prayer-request/7wGvBPD-N56Ssg
The Dancer,Ben Enwonwu,1959,Bronze,,"Ben Enwonwu embarked on the Africa Dances series during his studies in London in the 1940s. In the book, Gorer reflected on colonial rule and its impact on traditional life in Africa. Enwonwu used the series as visual illustrations of his views on the state of the modern Nigerian culture at the time, with attention to the symbolic imageries he saw in different scenes of traditional ceremonies, cultural dances and ritual performances of different ethnic groups in the country. This became a dominant theme throughout his career and was revisited in a lot of his paintings and sculptures.","Lagos, Nigeria",,,https://lh3.googleusercontent.com/ci/AL18g_Rqq3CDPdBfPb1K3UMf-ewwv055QhHm4qM8HsllAaZc4cKvTSwHoYy-Nc0syTrJvyc4QwLZBQ,https://artsandculture.google.com/asset/the-dancer/RwHLqHsOTqmd-w
The Adanma Masquerade,Okpu Eze,1989,Wood,,"Okpu Eze was a contemporary Nigerian painter and sculptor born in 1934. He was largely self-taught as an artist before receiving formal education and training at the Technical Institute & Trade Centre, Enugu, 1950-1955 and Westham Technical College, London, where he studied Technology & Techniques of Materials, 1963-1964. He was the first recipient of the Mbanefo Trophy for Art, Eastern Nigeria, in 1956. He also won the Sculpture Prize of the Economic Commission of West Africa States, Togo, 1990. Among his notable solo exhibitions as an artist was the ""Legacy of Images: The Sculptures of Okpu Eze,"" Italian Cultural Institute, Lagos, April, 1989; New Africa Centre, London, May 1990. He also participated in group exhibitions in Africa and Europe including the First World Festival of Negro Arts, Dakar, Senegal, 1966 and the 269th exhibition of The Royal Society of British Artists at the Mall galleries, London in 1986, which led to his election as Associate Member of the Royal Society of British Artists. In addition to his artistic practice, Okpu Eze was also highly respected for his knowledge and insights as a scholar. He was a guest art critic to the <i>Nigeria Magazine in the 1960’s. Before his death in 1995, he was the serving president of the Society of Nigerian Artists (SNA). Done in 1989, Adanma Masquerade is a classic masterpiece denoting the famous contemporary female masquerade of the Igbo people. Adanma or Adamma simply means the beautiful first daughter (of the family). Though worn and performed by a male masker, the mask is designed and decorated to give it a feminine outlook and appeal. The mask is known to be harmless and non-spiritual and is not worshipped by the people as common with other powerful masks. It is specially made for entertainment and can be worn by any man who can comfortably display and perform feminine dance attributes/steps qualities while dancing. Okpu Eze captures the notable female attributes of beauty, elegance, shyness and grace associated with the masquerade which is lauded for its unique ability to “enchant” her spectators with gracious body movements during performance.",Nigeria,Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_RA3k13I8FQ77qBq5bc3JGllbMQ66TKuMQShGIe7mjxwlHvrHLXj4UMgeAlMdjZHtdF_UWgxvgv=x0-y0-z0-nt0W9OhOaGV955Wq_A4_04cJRZon_0,https://artsandculture.google.com/asset/the-adanma-masquerade/ygEbXW_Dl2WRIg
The Conversation (3 Pieces),Bisi Fakeye,1995,Wood,"The Conversation (3 Pieces), Bisi uses abstract representations of what looks like 3 young ladies as metaphors to explore a contemporary idea of chit-chatting sisters/friends. The pieces look very similar with minimal differences in height. The necks are stretched while faces are all painted black. A staring inquisitive mind would want to think and try to guess what these women could possibly be talking about.","Bisi Fakeye was a 5th generation wood carver from the prestigious Fakeye lineage of wood carvers born in Ila-Orangun in 1942. Bisi learned and practiced as an apprentice under his uncle, Lamidi Fakeye, the master wood carver and the best recorded in the family history. He had little formal education finishing at Teachers’ Training College. He abandoned teaching to focus completely on carving. In 1968, he relocated to Lagos and joined the Universal Studio of Arts (U.S.A), one of the oldest studio groups in the nation’s visual art, at the National Theatre, Iganmu, Lagos as one of its foundation members. Having learned from his uncle at Ila-Orangun, Osun state, Bisi built his fame on the existing reputation and carving history of the Fakeye lineage. Upon arriving Lagos, he mixed and interacted with formally-trained colleagues, built a commercial base and quickly became part of the thriving Lagos art scene which attracted a lot of global attention and exposure to his art. His style which was typical of the modern traditional composition of his Fakeye lineage had a blends of very contemporary themes, ideologies, and activities. His art in the last 10 years of his life was unique for its richness in contemporary composition and texture. In",Nigeria,Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_QYiQIf2Aks1ILNic_JKq-q8LDfsb7HTy6VY97vfzgqCUOmbAy8bvZYB8mM8v8WO8F1ap_5ag,https://artsandculture.google.com/asset/the-conversation-3-pieces/EQEtZrpaB4qKjw
The Yemisi Shyllon Museum of Art (YSMA),,2020,,"The Yemisi Shyllon Museum of Art (YSMA), of the Pan-Atlantic University, Lagos, is the first purpose built, privately owned art museum in Nigeria. The 900 sqm museum hosts over 1000 artworks from Prince Yemisi Shyllon’s vast art collection. Thanks to him, the YSMA is privileged to have one of the most comprehensive and diverse art collections in the country and to make it accessible to all visitors. The Museum opened to the public in 2020 and was designed by Spanish-Nigerian architect and Director Jess Castellote. The architecture of the YSMA aligns with the principles that inspired the design of all the buildings at the Pan-Atlantic University; fitness for purpose, flexibility, sustainability and character. The stained concrete outer walls were inspired by the red mud houses of earlier civilizations such as the ancient Benin Kingdom.",,Nigeria,Photograph,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_Q7hQi8GDgJ1XSyZSfNLWc3FTEkbrt7D32dg1rSszEst85WpveZL6b44mvSRFTpamtoI9Yq=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/the-yemisi-shyllon-museum-of-art-ysma/BwHYflYZoijayg
Fourteenth Station,Bruce Onobrakpeya,,Print,"The fourteenth station portrays the burial of Christ, with his body laid on a stone platform within an enclosed space, signifying the tomb. Surrounding him are his disciples, mourning, while his mother stands sorrowfully on the left-hand side. This final piece in Onabrakpeya's 14-print series maintains his consistent use of form, color, and expressive visual elements. While the series is rooted in the Catholic Stations of the Cross, Onabrakpeya infuses the narrative with a distinctly African context. The figures, gestures, and emotional expressions resonate deeply with a Nigerian audience, showcasing the artist’s ability to personalize the biblical story for his cultural environment. His unique approach allows the artwork to transcend religious boundaries, connecting with viewers through shared cultural symbols and experiences.",,,Print,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/fourteenth-station/bwG376J1CZj8vA
Gallery visitor,,,,"The Yemisi Shyllon Museum of Art (YSMA), of the Pan-Atlantic University, Lagos, is the first purpose built, privately owned art museum in Nigeria. The 900 sqm museum hosts over 1000 artworks from Prince Yemisi Shyllon’s vast art collection. Thanks to him, the YSMA is privileged to have one of the most comprehensive and diverse art collections in the country and to make it accessible to all visitors. Our collection features artworks from established Nigerian artists including Ben Enwonwu, Uche Okeke, Aina Onabolu, El Anatsui, Erhabor Emokpae, Yusuf Grillo, Lamidi Fakeye, Bruce Onabrakpeya, Ben Osawe, Isiaka Osunde, Okpu Eze, Abayomi Barber, Gani Odutokun, Kolade Oshinowo, etc. Alongside them, are works by younger artists: Kainebi Osahenye, Ben Osaghae, Peju Layiwola, Tony Nsofor, Peju Alatise, Victor Ehikhamenor, Lanre Tejuoso, Eva Obodo, Ozioma Onuzulike, Uchay Chima, Ayobola Kekere-Ekun, Kelani Abass and many others.",,"Lagos, Nigeria",,,"https://lh3.googleusercontent.com/ci/AL18g_QoDt1HSI6O_2agdHcg3xe8gRZx50tOzOj81DoOMcojfaButv34jqolFGMGb0LzXPZ9YzQs=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/gallery-visitor/pgEJa7kyAg-y0g
Untitled,Moyo Ogundipe,2006,Acrylic on Canvas,,"Moyo Ogundipe, born in Nigeria in 1948, was a contemporary painter and art teacher who fled the country's military dictatorship in the 1980s. After obtaining a B.A. in Fine Art and Education from the University of Ife, Nigeria, he earned an M.A. in Studio Art from the Maryland Institute College of Art. Settling in Denver in 2002, he taught at the University of Colorado. Despite his relocation, Ogundipe's art remained rooted in his Yoruba heritage, blending Western techniques with African influences i.e He painted in the rich tradition of the Yoruba culture of Nigeria, but used Western materials such as acrylic and oil. His work was showcased in Nigerian and U.S. museums, including the Denver Art Museum and the New Museum of Contemporary Art in New York. In this captivating art piece, a vibrant explosion of colors takes center stage. Various hues, including shades of red, green, blue, purple, and pink, create a visually dynamic composition. The interplay of these colors forms a striking textural pattern. This artwork draws inspiration from the intricate patterns often seen on Yoruba textiles. This distinct textural style is a recurring motif in the body of work created by the artist, Moyo. The explosion of colors symbolizes Moyo's desire to convey a sense of joy, cultural pride, or a dynamic, ever-changing world. The use of Yoruba textile patterns demonstrates a deliberate technique to connect with cultural heritage.",,Painting,Yemisi Shyllon Museum of Art,https://lh3.googleusercontent.com/ci/AL18g_Qquz4zRKPT0KQDws_KYioUdgY4fodCTep-BEQxa4jN3ZoKM3mDmwa4AkeBjD-rj1k9ERdLHA,https://artsandculture.google.com/asset/untitled/hgGx-HD8RZwHvg
The Ancestral Lineage,Mufu Onifade,2013,Oil on Canvas,,"Mufu Onifade currently lives and works in Lugbe, Abuja. He has a BA in Fine and Applied Arts from Obafemi Awolowo University, Ile-Ife. He is the founder of Araism. A genuine African painting method that celebrates African cultures. Its power is deeply ingrained in Yoruba culture. It is the result of ongoing studio experimentation that took place over seven years (1989–1996). Alajobi (Ancestral lineage) as the title of the work states, depicts cultural beliefs, festivities, and heritage. In the painting, we see some heads of figures, small and big. The ancestors call out to their descendants to guide and direct them. In traditional African society, ancestors are revered and form part of the belief system. They are one with the gods and can be called upon to help their descendants.",,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_SJgRgs4JL814wnZqReT_fNSeZreVvJbRMJVoSlzEKkVODgRXe42S69D02x7y-JvCIdYyFLXLBW,https://artsandculture.google.com/asset/the-ancestral-lineage/cgEu0qVf0vApSQ
Untitled,Gani Odutokun,1990,Oil on Canvas,"Untitled piece is an abstract painting, thought to depict a fisherman carrying a large fish, accompanied by a woman. Both characters seem to be coming out of what looks like a river surrounded by grasses and trees on its banks, after the huge catch. Gani Odutokun combines black, light blue, red and dark blue colours in meticulously delivered brush strokes to create this masterpiece.","Adul Ganiyu Odutokun was a Nigerian painter, muralist, graphic artist, sculptor and teacher born in Ghana in 1946. He lived in Ghana until he was 19 years of age before relocating to his home country. He enrolled in Ahmadu Bello University, Zaria, where he obtained a BA (First Class Honours) in Fine Arts, with a major in Painting, in 1975 and a MA in Fine Art in 1979. He became a lecturer with the Department of Fine Arts at the university in 1976 and would lecture there till his death in 1995. Gani was a member of the Zaria Art Society which was founded at the university. As an artist he loved contradictions. Central to his artistic philosophy was the idea that human existence was filled with a continuum of events resulting from both fate and luck. As a result, he preferred to make his paints very fluid and flowing on his canvas, each one finding its direction and creating its own structures and patterns. He would then add finishing touches to his abstract forms to bring his concepts to life. As a renowned and passionate teacher, Gani left an indelible mark upon every student he taught during his time. His influence as an educator was remarkable and he is remembered by all who admired him till today. In 2018, due to his immense contribution to the practice and teaching of visual art in Nigeria, Gani was posthumously inducted into the Hall of Fame of the Society of Nigerian Artists for his distinguished service to the society and the nation. This",Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/untitled/nQEYwEVhtlbifw
My Bundle of Joy,Sam Ebohon,2009,Oil on Canvas,,Sam Ebohon captures the joy of parenthood.,"Lagos, Nigeria",Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_QoDt1HSI6O_2agdHcg3xe8gRZx50tOzOj81DoOMcojfaButv34jqolFGMGb0LzXPZ9YzQs=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/my-bundle-of-joy/rQEtA4ComXVUBQ
Triumph,Bruce Onobrakpeya,1994,Ivory Etching,Triumph is an ivory etching abstractly portraying a community standing victorious over the lifeless bodies of their oppressors.,"Born 30th of August, 1932 in Agbarha-Otor, Delta state, Bruce Onobrakpeya is Nigeria’s foremost graphic illustrator, painter, printmaker and sculptor. He developed an early interest in art as a child as his father was a carver while his mother was a collector of local craft and beads. By the time he was in secondary school in Benin City, his artistic abilities were quite apparent. He went on, in 1957, to study fine art at the Nigerian College of Arts, Science & Technology (NCAST), Zaria and obtained a Diploma in Fine Arts, from, in 1961, specializing in painting and history of art. In a bid to take their artistic destiny in their own hands and rescue the culture and heritage of the nation which was eroding due to colonialism, he and other art students including Uche Okeke, Yusuf Grillo, Simon Okeke and Demas Nwoko started the Zaria Art Society in 1958 which promulgated the philosophy of “Natural Synthesis”, an artistic philosophy involving a synthesis of local/traditional Nigerian ideas and the new western ideas and techniques. He participated in the summer school of the Department of Extra Mural Studies, University of Ibadan and Mbari Artists' and Writers' Club, Ibadan, 1961. In 1962, he was certified as an Art Teacher and also apprenticed under the early modernist, Ben Enwonwu. By 1963, Bruce was a teacher at St. Gregory College, Lagos where he spent so many years before becoming a freelance artist around 1980. His early interest in printmaking led him to study with Dutch graphic artist, Ru van Rossem, at Mbari Artists' and Writers' Club, Ibadan, 1963. He also attended the Mbari Mbayo printmaking workshop, Oshogbo in 1964. Onobrakpeya has experimented and explored different art techniques including linocuts, woodcuts, drawing, sculpture, deep etching and painting in the course of his career spanning over five decades. He is also known for developing the “plastocast” and “plastograph” art techniques and his works explore folkloric themes of his rich Urhobo heritage. As a renowned professor, he continues to teach the usage of these techniques he is prominent for both in different institutions at home and abroad. His foundation, the Bruce Onobrakpeya Foundation seeks to encourage the growth of art and culture by giving opportunities to artists to grow their skills while at the same time raising awareness of African art and its benefits to society. The foundation organizes a Harmattan Workshop annually in his hometown in Delta state for young students to learn and develop their creativity and skills in the use of different artistic media. In 2018, he was inducted into the Hall of Fame of the Society of Nigerian Artists (SNA) for his contribution to the growth of art in the country and his service to the nation.",Nigeria,Ivorex,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_Sb15Qn-O5f1Pa_kNl1_r7c9Ow78HpP1jzfg2FCHGraVyMe5PwTLmtfY-uuSapl2V56Qs8u=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/triumph/9QHMcldYsWF53A
Iwin,Susan Wenger,1960,Ink on Paper,"Iwin: A depiction of eerie figures resembling Yoruba spirits (iwin), who are said to inhabit forests. The central figure beats a drum while others dance, surrounded by patterns that suggest their mystical nature.",Susan Wenger was an Austrian-born artist and Yoruba priestess who moved to Nigeria in the mid-20th century. She became one of the leading figures in Osogbo’s art scene and devoted her life to preserving Yoruba culture and religion through her art.,,Painting,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_QoDt1HSI6O_2agdHcg3xe8gRZx50tOzOj81DoOMcojfaButv34jqolFGMGb0LzXPZ9YzQs=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/iwin/DQEnVnISVVl7TQ
Tour the Yemisi Shyllon Museum of Art,,2021/2021,,"The Yemisi Shyllon Museum of Art (YSMA), of the Pan-Atlantic University, Lagos, is the first purpose built, privately owned art museum in Nigeria. The 900 sqm museum hosts over 1000 artworks from Prince Yemisi Shyllon’s vast art collection. Thanks to him, the YSMA is privileged to have one of the most comprehensive and diverse art collections in the country and to make it accessible to all visitors. Our collection features artworks from established Nigerian artists including Ben Enwonwu, Uche Okeke, Aina Onabolu, El Anatsui, Erhabor Emokpae, Yusuf Grillo, Lamidi Fakeye, Bruce Onabrakpeya, Ben Osawe, Isiaka Osunde, Okpu Eze, Abayomi Barber, Gani Odutokun, Kolade Oshinowo, etc. Alongside them, are works by younger artists: Kainebi Osahenye, Ben Osaghae, Peju Layiwola, Tony Nsofor, Peju Alatise, Victor Ehikhamenor, Lanre Tejuoso, Eva Obodo, Ozioma Onuzulike, Uchay Chima, Ayobola Kekere-Ekun, Kelani Abass and many others.",,,,,"https://lh3.googleusercontent.com/ci/AL18g_Q7hQi8GDgJ1XSyZSfNLWc3FTEkbrt7D32dg1rSszEst85WpveZL6b44mvSRFTpamtoI9Yq=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/tour-the-yemisi-shyllon-museum-of-art/-QGSDdXLf9GOsQ
Fish Sellers,Kunle Adegborioye,2010,Oil on Canvas,This painting depicts a market scene. Women can be seen selling foodstuff and seafood. Two women in the foreground are vividly depicted while other women fade into the background. They sit on little stools while waiting for customers to patronize them. This practice of selling seafood is commonly found among dwellers in riverine areas of Nigeria.,,Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/fish-sellers/gAE0ZB9IWLXpmQ
Iya Abikun (FESTAC 77),Erhabor Emokpae,1977,Wood,"Abikun, also spelt ""Abiku"" in Yoruba, simply means ""Predestined to die"". In Yoruba mythology, it refers to a child who dies before puberty, normally before or around the age of 12. Iya Abikun is the mother of such a child. The expression of frailty, sadness and pain is written all over the face of the mother who is a victim of this spiritual misfortune. The heart is full of anxiety about the future of her child as every minute of his/her existence is unpredictable.",,Nigeria,Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_SpBPPlS4_V9DXMeTwNGZ8w4TjeMIH92IcuZMGNRfjiFEM-4Uc8k9gqqJjz3oQhFIBbouu-PYs=x0-y0-z0-nt0dGzWWlaksHkrcqAd_WqxWjRVcIw,https://artsandculture.google.com/asset/iya-abikun-festac-77/egHjNwj-6jLltg
Hope,Aina Onabolu,1947,,"Hope, Onabolu portrays a woman selling fruits at what appears to be a village market. She sits under a shed beside a basket filled with yellow-orange fruits, neatly displayed in groups of four. This traditional scene reflects the longstanding practice of fruit trading among women across Nigeria, symbolizing the hope and sustenance such trade provides. Onabolu’s mature use of color—mixing grey, rusty yellow, brown, and black—adds depth and warmth to the scene, creating a timeless snapshot of local life.","Aina Onabolu, widely regarded as the father of modern Nigerian art, was born in Ijebu-Ode in 1882. From a young age, he demonstrated an innate talent for drawing, practicing by copying photographs and illustrations from European magazines. At 12, he was already designing charts and visual aids for schoolteachers. Onabolu’s 1906 portrait Mrs. Spencer Savage is considered one of the earliest modern artworks by a Nigerian artist. He was the first Nigerian to receive formal art education in Europe, studying at Académie Julian in Paris and later at the Royal Academy of Art in London, where he earned certificates in oil painting and fine art. His contributions to the development of art education in Nigeria were profound, and he played a key role in inviting British art educator Kenneth Murray to the country. Onabolu's influence endures, and he was posthumously inducted into the Society of Nigerian Artists (SNA) Hall of Fame in 2018. In",,Painting,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/hope/BQFRtUw5lEmUYA
Human Resources,Uchay Joel Chima,2013,Mixed media,"Human Resources” implies a gathering of people as abstract looking heads of various sizes occupy the surface area. The artist began exploring the theme as a series in 2008, and the works were first featured at his solo show “Much Strings Attached”, in ARC Gallery, London, UK in 2009. The works interrogate the abundance of resources in Nigeria, especially human resources. As the title implies in this piece, he manipulates sac bags (grain sacs and Ghana must go bags) and twine to depict people. Uchay in his usual bid to attach his materials to his subject, uses food sacs to imply “beings"" because “we are what we eat”. He also employs the twine to indicate the notions of friendship, bonding, togetherness, intimacy, entanglement and oneness, since they resonate sayings like “a three-fold cord is not easily broken”, or the proverbial “Igwe bu ike” in igbo which means “there is strength in unity”. Rendering human beings by knotting and tying, the artist arrived at bulging sacs which formed the head, neck and draperies of the relief abstract figures. According to Achugwo (2019), The knots and draperies represent Nigerians dressed in traditional wears. The artist makes the heads at the bottom the largest, reducing the sizes as they go up. Some heads come together more than others, suggesting whispering and conversations. Uchay, through this presentation, tries to convey that every human contains a goldmine of ceaseless potential but while some live with the awareness of what they contain, many never discover theirs and are lost in the crowd. Laying emphasis on Nigeria’s current situation, particularly the crude oil in the southern parts, there has been much more focus on this resource in the Nation than the much needed investment in manpower development and since we live in an era where many jobs are being automated, the consequences are ominous. Being a nation blessed with over 200 million people, it is sad that the school system is disheartening as it fails for inadequate funding and it lacks consensus as to how to prepare the next generation for the world they will inherit. Proffering solution to the negligence of human resources through the qualities of his materials and positioning of forms, Uchay infers a need to re-evaluate and strengthen our relationships with those around us despite the dire circumstances, with the intent of supporting one another through current global difficulties and challenges. Furthermore, the artist resolves that when the people are empowered, great opportunities abound, the nation grows stronger and in his words, “the 'Giant' ceases to walk on clutches.”","Uchay Joel Chima, born in 1971, is an Igbo Nigerian contemporary artist, who was brought up in Enugu, also known as the “coal city”. It is evident in his art that he has a pronounced sentimental attachment to the town considering that he uses coal as one of his expressive media. The artist, expressing his connection says, “I have no doubt in my mind that growing up in Enugu, a city with a picturesque backdrop, green landscape, an abundance of parks with perfectly groomed lush grass fields, carved flower beds, and a plethora of fruit trees, played a huge role in molding the artist I am today.” Another gift which the town bestowed on him was the troupe of artists that practiced in the town. At the age of fifteen, Uchay was fortunate to see the Aka Group show at the Presidential Hotel in Enugu. At that age, he was fascinated by works of great masters, the likes of Nsikak Essien, El Anatsui, Bona Ezeudu, Chris Afuba, Obiora Udechuckwu, Tayo Adenike, Boniface Okafor, Obiora Anidi, Tony Umunna and dreamed to become like them. This motivated him to study Fine Arts at the Institute of Management and Technology Enugu, where he graduated with a H.N.D. in 1997. His early contact with the artists significantly influenced his works on canvas and in the same city, Uchay produced his early works which consisted mostly of landscapes, human figures and life compositions all inspired by his childhood home. At first glance, Uchay’s mixed media piece “","Lagos, Nigeria",Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_QwoLGVPcAO0wIE4S1BaIiPNGkkgJqatu_jEniE16Dd6oDjKYv6pHeaimMJbLnSMLZuq24ayQ=x0-y0-z0-nt0c1cO7m25JDs4sPRqW9MHF_YK2B4,https://artsandculture.google.com/asset/human-resources/VAE9iRj0jz67Uw
,,,,,,,,,"https://lh3.googleusercontent.com/ci/AL18g_Q7hQi8GDgJ1XSyZSfNLWc3FTEkbrt7D32dg1rSszEst85WpveZL6b44mvSRFTpamtoI9Yq=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/palace-guard/gQGfyzgJgX5XWA
